Date,AAPL,AMT,AMZN,CAT,GOOG,JNJ,JPM,NEE,PG,XOM
2015-01-02,24.17176055908203,75.03495025634766,15.425999641418457,68.89929962158203,25.9399471282959,75.73735809326172,46.06679153442383,19.605073928833008,65.06998443603516,56.77790832519531
2015-01-05,23.490798950195312,73.95085906982422,15.10949993133545,65.26238250732422,25.39921760559082,75.20840454101562,44.63663864135742,19.39742660522461,64.7606201171875,55.224365234375
2015-01-06,23.493009567260742,73.75515747070312,14.76449966430664,64.84246826171875,24.81053352355957,74.8388442993164,43.4792594909668,19.472768783569336,64.46563720703125,54.93077850341797
2015-01-07,23.822437286376953,74.53054809570312,14.920999526977539,65.84730529785156,24.768028259277344,76.49097442626953,43.54560089111328,19.651016235351562,64.80380249023438,55.487335205078125
2015-01-08,24.73773956298828,75.22315979003906,15.02299976348877,66.5221939086914,24.84612274169922,77.09239196777344,44.51871109008789,19.770456314086914,65.54486083984375,56.410945892333984
2015-01-09,24.764278411865234,74.83919525146484,14.846500396728516,65.72732543945312,24.524354934692383,76.04170989990234,43.74464797973633,19.595888137817383,64.93329620361328,56.3314094543457
2015-01-12,24.15406608581543,74.51551055908203,14.570500373840332,65.15740203857422,24.34542465209961,75.7808609008789,43.36868667602539,19.546274185180664,64.69586944580078,55.24884033203125
2015-01-13,24.3685302734375,73.68739318847656,14.737000465393066,64.7674789428711,24.524845123291016,75.91126251220703,43.37606430053711,19.62344741821289,64.96929168701172,55.046993255615234
2015-01-14,24.275667190551758,73.22061920166016,14.66349983215332,64.54249572753906,24.756656646728516,75.3605728149414,41.879573822021484,19.744733810424805,64.7462387084961,54.88795471191406
2015-01-15,23.616823196411133,72.48281860351562,14.34749984741211,63.748661041259766,24.80213165283203,74.26639556884766,40.53789138793945,19.66939353942871,64.65271759033203,54.41086959838867
2015-01-16,23.433313369750977,73.34107971191406,14.536999702453613,63.400936126708984,25.1130313873291,75.38956451416016,41.23084259033203,19.886226654052734,65.65277099609375,55.73201370239258
2015-01-20,24.036895751953125,73.12274169921875,14.472000122070312,63.48405075073242,25.054706573486328,73.39684295654297,41.06867599487305,20.016693115234375,65.609619140625,55.71367263793945
2015-01-21,24.220394134521484,72.8366928100586,14.862500190734863,64.54251098632812,25.60532569885254,73.83887481689453,41.20135498046875,20.19309425354004,65.74292755126953,56.19073486328125
2015-01-22,24.850509643554688,74.40257263183594,15.515999794006348,65.63874816894531,26.413461685180664,75.1866683959961,42.45456314086914,20.1306209564209,66.38784790039062,56.80236053466797
