Date,SPX,SX5E,Nikkei,FTSE
2007-04-03,0.9237307072510248,1.3454686543658667,1.2584066904359759,0.7980123295823205
2007-04-04,0.11121987409170586,0.3650694312334224,1.7249930409823477,-0.021992369956080893
2007-04-05,0.3045313970392094,0.22757632670078465,-0.30066616358883635,0.5108866992719285
2007-04-06,,,-0.03797225100576895,
2007-04-09,0.0588550367099927,,1.4703143599531288,
2007-04-10,0.26132260269688956,0.6982447587827068,-0.44661907357284036,0.3199353592423293
2007-04-11,-0.6594524912467037,-0.1924453571559681,0.030456465261252674,-0.07014208168421021
2007-04-12,0.6187116686112937,-0.30747340753478625,-0.7364338054410169,0.04832689443059479
2007-04-13,0.34819311653260243,0.8684123683583067,-1.01117545516054,0.7143553174797646
2007-04-16,1.059854287315698,1.4235666122697666,1.5109436613013116,0.8290663203675663
2007-04-17,0.21430131114730244,0.11707211434099918,-0.5737430670853527,-0.282778590538868
2007-04-18,0.06929527910060074,-0.5816950516088326,0.7948996909080464,-0.7476539930822312
2007-04-19,-0.12027736577708836,-0.43729880237144414,-1.6859147542060526,-0.13653694421371654
2007-04-20,0.9218086660296443,1.7554937293407846,0.46317031751907933,0.7147594112973721
2007-04-23,-0.23066444703703226,-0.3781356834243965,0.015755706020925686,-0.10950696154665707
2007-04-24,-0.03512055496237565,-0.7365503754629188,-0.020623915478168442,-0.7777468410036903
2007-04-25,1.008803370270872,0.8346773582225353,-1.2431537637494827,0.5042092673949838
2007-04-26,-0.07827245066183153,0.22157640084792263,1.1135723196046499,0.11444860119347311
2007-04-27,-0.012050497563276252,-0.706581943748219,-0.1651456727120859,-0.7867717999856083
2007-04-30,-0.7861748709062866,0.20990248057355387,,0.4740486977826919
2007-05-01,0.26476879873138515,,-0.7234539095659187,-0.46002967151466123
2007-05-02,0.6451588538502584,0.525446487802661,0.6918966034088925,1.0058888116594389
2007-05-03,0.43157516194129997,0.26778511527325577,,0.8185973771501764
2007-05-04,0.21475870756333393,0.4118163271222386,,1.0029440023172853
2007-05-07,0.2560437459192322,-0.09631672538539249,1.5680464801075544,
2007-05-08,-0.1166651195633861,-0.677546661318118,-0.07354350120873931,-0.8104026011942267
2007-05-09,0.3218216510912697,,0.5156311530045699,-0.012210758602826388
2007-05-10,-1.4054581884655803,-0.44187933710801985,-0.06288954945681269,-0.3900966360909308
2007-05-11,0.9595315462487264,0.7078854200655016,-1.0384717585960601,0.6356130235770863
2007-05-14,-0.1794584178452574,-0.21160654089147357,0.7051570330574464,-0.15547659079047094
2007-05-15,-0.13048345448343213,0.6168363173120639,-0.9375156601505452,0.20115815923595903
2007-05-16,0.8589542804573469,-0.4153975990464076,0.09143051934668023,-0.14015930107316166
2007-05-17,-0.09184441716891811,,-0.1735796834326564,0.3013946474574425
2007-05-18,0.6588724214163122,1.3071539576941404,-0.5674782917907351,0.9319154753210768
2007-05-21,0.15420549373725834,-0.3413690319153062,0.8999204869342137,-0.06175915824329081
2007-05-22,-0.06427745534312024,0.09713799976260873,0.6991652090501788,-0.45607260372175773
2007-05-23,-0.12079608910857687,0.664695608231014,0.14168853010581017,0.1482236479120047
2007-05-24,-0.9749940652955758,-1.0497794870937938,-0.046033653266519536,-0.7722734309281165
2007-05-25,0.5437868634530219,0.24269991698417925,-1.2266834787780567,0.07765010733162825
2007-05-28,,,0.6066887385467012,
2007-05-29,0.15689722581671006,0.25262090274100757,0.4819654293365616,0.5448845481895503
2007-05-30,0.7951907673130698,-0.13618435908426818,-0.4781564417356776,-0.06662178389760243
2007-05-31,0.025484074924264633,0.978248023502637,1.6213425051708086,0.2934135351724265
2007-06-01,0.3730063260024785,0.9773433664582498,0.46397022383111164,0.8301952376355004
2007-06-04,0.18468998282514804,-0.4213446398923182,0.08092475559511314,-0.18889573528042547
2007-06-05,-0.5361416122664941,-0.5442485953642162,0.4462777592292966,-0.4707917035023712
2007-06-06,-0.8903259242367234,-1.6958205233928325,-0.0713725037950752,-1.6738577781953978
2007-06-07,-1.7725961545528968,-1.2664074132526792,0.06899243775677633,-0.2701930942725639
2007-06-08,1.1306236827796745,-0.11487436838777398,-1.5309933582802415,0.0
2007-06-11,0.09612543562846909,0.889005720183178,0.311064963034724,0.9546742928828067
2007-06-12,-1.0739177694170543,-0.7383088959697304,-0.41337047280194383,-0.7182182462738496
2007-06-13,1.5070095861530852,0.4248337200033703,-0.1585669964006442,0.5978580259865751
2007-06-14,0.48047420992167744,1.8761096631056517,0.6157115775497601,1.3672161900656121
2007-06-15,0.650555553085308,1.4599566236391581,0.7215196771676702,1.2329875489118791
2007-06-18,-0.12141056212540136,-0.4576438172824382,0.9857461882347707,-0.43018997049806273
